,Unnamed: 0,title,link,keyword
0,0,Andre Rosiade Bantu Istri Pemulung Pengidap Diabetes Akut di Padang,https://news.detik.com/berita/d-8452634/andre-rosiade-bantu-istri-pemulung-pengidap-diabetes-akut-di-padang,diabetes
1,1,"Pasien Diabetes Tak Lagi Perlu Minum Obat Seumur Hidup, Asal...",https://health.detik.com/berita-detikhealth/d-8451413/pasien-diabetes-tak-lagi-perlu-minum-obat-seumur-hidup-asal,diabetes
8,8,18 April Hari Diabetes Nasional dan Kenali Cara Mencegahnya,https://www.detik.com/bali/berita/d-8450035/18-april-hari-diabetes-nasional-dan-kenali-cara-mencegahnya,diabetes
14,14,Terungkap Pemicu Terbesar Gagal Ginjal Makin Mengkhawatirkan di RI,https://health.detik.com/berita-detikhealth/d-8449103/terungkap-pemicu-terbesar-gagal-ginjal-makin-mengkhawatirkan-di-ri,diabetes
23,23,Jebakan 'Hidden Sugar' di Minuman Manis yang Bikin Warga +62 Rentan Diabetes,https://health.detik.com/berita-detikhealth/d-8437466/jebakan-hidden-sugar-di-minuman-manis-yang-bikin-warga-62-rentan-diabetes,diabetes
26,26,"BPOM RI Setujui Nutri-Level, Soroti 73 Persen Warga RI Meninggal Komplikasi Diabetes-Hipertensi",https://health.detik.com/berita-detikhealth/d-8436253/bpom-ri-setujui-nutri-level-soroti-73-persen-warga-ri-meninggal-komplikasi-diabetes-hipertensi,diabetes
28,28,Wamenkes Temukan Banyak Pemudik yang Idap Hipertensi-Diabetes,https://health.detik.com/berita-detikhealth/d-8404513/wamenkes-temukan-banyak-pemudik-yang-idap-hipertensi-diabetes,diabetes
29,29,"Mengenal Terapi Insulin, Solusi Penderita Diabetes Terhindar Komplikasi",https://www.detik.com/jatim/berita/d-8305817/mengenal-terapi-insulin-solusi-penderita-diabetes-terhindar-komplikasi,diabetes
32,32,Golongan Darah Ini Disebut Paling Berisiko Idap Diabetes,https://health.detik.com/berita-detikhealth/d-8326700/golongan-darah-ini-disebut-paling-berisiko-idap-diabetes,diabetes
33,33,7 Camilan Aman dan Sehat untuk Pengidap Diabetes,https://health.detik.com/berita-detikhealth/d-8289698/7-camilan-aman-dan-sehat-untuk-pengidap-diabetes,diabetes
35,35,Duh! Menkes 'Sentil' Kebiasaan Warga +62 Pemicu Diabetes,https://health.detik.com/berita-detikhealth/d-8315201/duh-menkes-sentil-kebiasaan-warga-62-pemicu-diabetes,diabetes
36,36,Kenapa Penderita Diabetes Harus Diamputasi? Ini Penyebab dan Cara Mencegahnya,https://www.detik.com/jogja/berita/d-8302061/kenapa-penderita-diabetes-harus-diamputasi-ini-penyebab-dan-cara-mencegahnya,diabetes
40,40,Kebiasaan Warga Indonesia yang Jadi Pemicu Diabetes,https://www.detik.com/sumut/berita/d-8316443/kebiasaan-warga-indonesia-yang-jadi-pemicu-diabetes,diabetes
41,41,Tiap Hari 28 Warga Malaysia Kena Gagal Ginjal dan Harus Cuci Darah,https://health.detik.com/berita-detikhealth/d-8446419/tiap-hari-28-warga-malaysia-kena-gagal-ginjal-dan-harus-cuci-darah,diabetes
44,44,"Menkes Warning Orang Gemuk, Berpotensi Kena Diabetes hingga Hipertensi",https://health.detik.com/berita-detikhealth/d-8314440/menkes-warning-orang-gemuk-berpotensi-kena-diabetes-hingga-hipertensi,diabetes
45,45,"Pemerintah Batasi Medsos untuk Anak, Bisa Cegah Hipertensi-Diabetes?",https://health.detik.com/berita-detikhealth/d-8427679/pemerintah-batasi-medsos-untuk-anak-bisa-cegah-hipertensi-diabetes,diabetes
46,46,"Ini Alasan Kebanyakan Gula Bisa Picu Diabetes, Sakit Jantung sampai Gagal Ginjal",https://health.detik.com/berita-detikhealth/d-8358711/ini-alasan-kebanyakan-gula-bisa-picu-diabetes-sakit-jantung-sampai-gagal-ginjal,diabetes
47,47,"10 Makanan Penurun Gula Darah, Cocok untuk Pengidap Diabetes",https://health.detik.com/berita-detikhealth/d-8282534/10-makanan-penurun-gula-darah-cocok-untuk-pengidap-diabetes,diabetes
48,48,BRIN Temukan Cemaran Obat Diabetes di Air DKI,https://health.detik.com/berita-detikhealth/d-8224230/brin-temukan-cemaran-obat-diabetes-di-air-dki,diabetes
50,50,Diabetes Bisa Sembuh: Kabar Baik atau Hoax?,https://health.detik.com/berita-detikhealth/d-8209283/diabetes-bisa-sembuh-kabar-baik-atau-hoax,diabetes
52,52,"Kemenkes 'Upgrade' CKG di 2026, Pengobatan Diabetes-Hipertensi Gratis 15 Hari",https://health.detik.com/berita-detikhealth/d-8321812/kemenkes-upgrade-ckg-di-2026-pengobatan-diabetes-hipertensi-gratis-15-hari,diabetes
53,53,"Diabetes Mengintai, Sukabumi Perkuat Layanan Puskesmas",https://www.detik.com/jabar/berita/d-8214464/diabetes-mengintai-sukabumi-perkuat-layanan-puskesmas,diabetes
56,56,"Beban Tersembunyi di Balik Diabetes, Saat Keluarga Ikut Berjuang",https://health.detik.com/berita-detikhealth/d-8209290/beban-tersembunyi-di-balik-diabetes-saat-keluarga-ikut-berjuang,diabetes
57,57,Hari Diabetes Sedunia 2025: Latar Belakang hingga Tema Tahun Ini,https://news.detik.com/berita/d-8210117/hari-diabetes-sedunia-2025-latar-belakang-hingga-tema-tahun-ini,diabetes
58,58,"Suplai Insulin Terhambat, Anak-anak Diabetes di Pengungsian Terancam Koma",https://health.detik.com/berita-detikhealth/d-8272864/suplai-insulin-terhambat-anak-anak-diabetes-di-pengungsian-terancam-koma,diabetes
60,60,Keturunan vs Gaya Hidup: Mana yang Lebih Menentukan Risiko Diabetes?,https://health.detik.com/berita-detikhealth/d-8209297/keturunan-vs-gaya-hidup-mana-yang-lebih-menentukan-risiko-diabetes,diabetes
61,61,"WHO Soroti Harga Minuman Manis Murah, Warga Dunia Makin Rentan Kena Diabetes-Kanker",https://health.detik.com/berita-detikhealth/d-8322640/who-soroti-harga-minuman-manis-murah-warga-dunia-makin-rentan-kena-diabetes-kanker,diabetes
64,64,"Komplikasi Diabetes Mengintai Diam-diam, Kenali Tandanya Sejak Dini!",https://www.detik.com/jatim/berita/d-8180364/komplikasi-diabetes-mengintai-diam-diam-kenali-tandanya-sejak-dini,diabetes
65,65,Catat! Ini 10 Tanda Awal Diabetes,https://www.detik.com/sumut/berita/d-8099358/catat-ini-10-tanda-awal-diabetes,diabetes
68,68,Donna Agnesia Ungkap Pola Makan Keluarga Biar Bebas Risiko Diabetes,https://health.detik.com/berita-detikhealth/d-8213693/donna-agnesia-ungkap-pola-makan-keluarga-biar-bebas-risiko-diabetes,diabetes
69,69,Awas Diabetes! Ini Batas Konsumsi Gula yang Aman Menurut Kemenkes,https://health.detik.com/berita-detikhealth/d-8188588/awas-diabetes-ini-batas-konsumsi-gula-yang-aman-menurut-kemenkes,diabetes
70,70,Hari Diabetes Sedunia 14 November 2025: Tema dan Pesan Utamanya,https://news.detik.com/berita/d-8208630/hari-diabetes-sedunia-14-november-2025-tema-dan-pesan-utamanya,diabetes
71,71,"Tak Sekedar Kadar Gula Tinggi, Ini Deretan Komplikasi Fatal Diabetes",https://health.detik.com/berita-detikhealth/d-8180480/tak-sekedar-kadar-gula-tinggi-ini-deretan-komplikasi-fatal-diabetes,diabetes
72,72,Kabar Baik dari Ilmuwan Harvard! Ada Cara Baru Atasi Diabetes-Obesitas,https://health.detik.com/berita-detikhealth/d-8262571/kabar-baik-dari-ilmuwan-harvard-ada-cara-baru-atasi-diabetes-obesitas,diabetes
76,76,Perintah Baru Trump: Pemohon Visa yang Obesitas-Diabetes Bakal Ditolak,https://www.detik.com/kalimantan/berita/d-8211954/perintah-baru-trump-pemohon-visa-yang-obesitas-diabetes-bakal-ditolak,diabetes
77,77,"5 Tanda Tersembunyi saat Gula Darah Tak Terkontrol, Waspada kena Diabetes",https://health.detik.com/berita-detikhealth/d-8212772/5-tanda-tersembunyi-saat-gula-darah-tak-terkontrol-waspada-kena-diabetes,diabetes
78,78,"Ancaman Gula Berlebih: Manis Sesaat, Diabetes Sepanjang Hayat",https://health.detik.com/berita-detikhealth/d-8185504/ancaman-gula-berlebih-manis-sesaat-diabetes-sepanjang-hayat,diabetes
80,80,Amerika Serikat Tolak Pemohon Visa yang Obesitas dan Diabetes,https://www.detik.com/jabar/berita/d-8211947/amerika-serikat-tolak-pemohon-visa-yang-obesitas-dan-diabetes,diabetes
82,82,Gula Darah Sering Naik-Turun? Produk Ini Bisa Bantu Penderita Diabetes,https://health.detik.com/berita-detikhealth/d-8192081/gula-darah-sering-naik-turun-produk-ini-bisa-bantu-penderita-diabetes,diabetes
