title,link,keyword
"Tiap 4 Menit, 1 Orang Meninggal Karena TBC",https://health.detik.com/berita-detikhealth/d-8433878/tiap-4-menit-1-orang-meninggal-karena-tbc,tbc
Wamendagri Wiyagus Tekankan Komitmen Pemda Percepat Penuntasan TBC,https://news.detik.com/berita/d-8431499/wamendagri-wiyagus-tekankan-komitmen-pemda-percepat-penuntasan-tbc,tbc
Pemkab Banyuasin Perkuat Eliminasi TBC Lewat Desa Siaga-Digitalisasi Layanan,https://www.detik.com/sumbagsel/berita/d-8435163/pemkab-banyuasin-perkuat-eliminasi-tbc-lewat-desa-siaga-digitalisasi-layanan,tbc
Video Wamenkes: Kematian Akibat TBC di RI Lebih Banyak dari Covid-19,https://20.detik.com/detikupdate/20251113-251113135/video-wamenkes-kematian-akibat-tbc-di-ri-lebih-banyak-dari-covid-19,tbc
Video Kemenkes: Belum Ada Bukti Ilmiah Obat Herbal Bisa Sembuhkan TBC,https://health.detik.com/detiktv/d-8403254/video-kemenkes-belum-ada-bukti-ilmiah-obat-herbal-bisa-sembuhkan-tbc,tbc
Wamendagri Wiyagus Dorong Pemda Percepat Penanggulangan TBC,https://news.detik.com/berita/d-8393781/wamendagri-wiyagus-dorong-pemda-percepat-penanggulangan-tbc,tbc
Wamendagri Ingatkan Kasus TBC Masih Tinggi di Jawa Barat,https://health.detik.com/berita-detikhealth/d-8393777/wamendagri-ingatkan-kasus-tbc-masih-tinggi-di-jawa-barat,tbc
"Perluas Deteksi Dini, Menkes Pantau Skrining TBC di Semarang",https://health.detik.com/fotohealth/d-8349431/perluas-deteksi-dini-menkes-pantau-skrining-tbc-di-semarang,tbc
"1 Orang Meninggal Tiap 4 Menit, Wamenkes Soroti Banyak Kasus TBC Belum Ditemukan",https://health.detik.com/berita-detikhealth/d-8433276/1-orang-meninggal-tiap-4-menit-wamenkes-soroti-banyak-kasus-tbc-belum-ditemukan,tbc
Bahaya di Balik Klaim Obat Herbal Bisa Cegah dan Sembuhkan TBC,https://www.detik.com/kalimantan/berita/d-8404087/bahaya-di-balik-klaim-obat-herbal-bisa-cegah-dan-sembuhkan-tbc,tbc
"3.600 Warga Lamongan Terdata TBC, Dinkes Perluas Skrining",https://www.detik.com/jatim/berita/d-8349738/3-600-warga-lamongan-terdata-tbc-dinkes-perluas-skrining,tbc
Kemenkes Respons Klaim Influencer Sebut Herbal Bisa Cegah-Obati TBC,https://health.detik.com/berita-detikhealth/d-8404967/kemenkes-respons-klaim-influencer-sebut-herbal-bisa-cegah-obati-tbc,tbc
"Video: Gaduh Influencer Klaim Herba Dapat Obati TBC, Ini Faktanya",https://health.detik.com/detiktv/d-8406531/video-gaduh-influencer-klaim-herba-dapat-obati-tbc-ini-faktanya,tbc
Klaim Menyesatkan Influencer Sebut TBC Bisa Dicegah-Diobati dengan Herbal,https://health.detik.com/berita-detikhealth/d-8401897/klaim-menyesatkan-influencer-sebut-tbc-bisa-dicegah-diobati-dengan-herbal,tbc
Wamendagri Wiyagus Minta Desa Siaga TBC di Bogor Rampung Pertengahan 2026,https://news.detik.com/berita/d-8374492/wamendagri-wiyagus-minta-desa-siaga-tbc-di-bogor-rampung-pertengahan-2026,tbc
Video: 4 Saksi Diperiksa Buntut Dokter Dipaksa Buka Masker Keluarga Pasien TBC,https://20.detik.com/detikupdate/20250816-250816009/video-4-saksi-diperiksa-buntut-dokter-dipaksa-buka-masker-keluarga-pasien-tbc,tbc
"Malaysia Dilanda Lonjakan Kasus TBC, Masyarakat Diimbau Gunakan Masker",https://www.detik.com/sumut/berita/d-8358058/malaysia-dilanda-lonjakan-kasus-tbc-masyarakat-diimbau-gunakan-masker,tbc
"Menkes di DPR: Saya Belum Pernah Uji Kesehatan Mental, Mungkin Depresi Juga",https://news.detik.com/berita/d-8453549/menkes-di-dpr-saya-belum-pernah-uji-kesehatan-mental-mungkin-depresi-juga,tbc
Fakta-fakta Klaim Sesat Influencer Sebut Herbal Bisa Cegah-Obati TBC,https://health.detik.com/berita-detikhealth/d-8403307/fakta-fakta-klaim-sesat-influencer-sebut-herbal-bisa-cegah-obati-tbc,tbc
"Cegah Penularan, Nakes Skrining TBC ke Pelajar Jakarta",https://health.detik.com/fotohealth/d-8183749/cegah-penularan-nakes-skrining-tbc-ke-pelajar-jakarta,tbc
"Viral Influencer Klaim Herba Bisa Cegah-Sembuhkan TBC, Dokter Ungkap Faktanya",https://health.detik.com/berita-detikhealth/d-8401332/viral-influencer-klaim-herba-bisa-cegah-sembuhkan-tbc-dokter-ungkap-faktanya,tbc
Respons BGS soal Negara Tetangga RI 'Diamuk' Lonjakan TBC-Ada Imbauan Pakai Masker,https://health.detik.com/berita-detikhealth/d-8373721/respons-bgs-soal-negara-tetangga-ri-diamuk-lonjakan-tbc-ada-imbauan-pakai-masker,tbc
Menkes Ungkap 136 Ribu Orang Indonesia Meninggal karena TBC,https://news.detik.com/berita/d-8315042/menkes-ungkap-136-ribu-orang-indonesia-meninggal-karena-tbc,tbc
"Gaduh Influencer Sebut Herba Bisa Obati TBC, Dokter Paru: Klaim Berbahaya!",https://health.detik.com/berita-detikhealth/d-8401247/gaduh-influencer-sebut-herba-bisa-obati-tbc-dokter-paru-klaim-berbahaya,tbc
"Wabah TBC Hantam Malaysia, Warga Diminta Pakai Masker saat Bepergian",https://health.detik.com/berita-detikhealth/d-8357998/wabah-tbc-hantam-malaysia-warga-diminta-pakai-masker-saat-bepergian,tbc
"Pakar Singgung 'Slow-Burn Epidemic' TBC di Malaysia, Bisa Menular Diam-diam",https://health.detik.com/berita-detikhealth/d-8358196/pakar-singgung-slow-burn-epidemic-tbc-di-malaysia-bisa-menular-diam-diam,tbc
Eks Pejabat WHO Sentil Selebgram yang Ramai Sebut TBC Bisa Dicegah Pakai Obat Herbal,https://health.detik.com/berita-detikhealth/d-8405158/eks-pejabat-who-sentil-selebgram-yang-ramai-sebut-tbc-bisa-dicegah-pakai-obat-herbal,tbc
"Video: TNI Bakal Produksi-Distribusi Obat, Ini Jenis dan Sasarannya",https://20.detik.com/detikupdate/20250520-250520161/video-tni-bakal-produksi-distribusi-obat-ini-jenis-dan-sasarannya,tbc
Duh! TBC Merebak di Kandang Barcelona,https://sport.detik.com/sepakbola/gila-bola/d-8196522/duh-tbc-merebak-di-kandang-barcelona,tbc
"Atasi TBC, Pemprov DKI Gencarkan Gerakan TOSS hingga Kampung Siaga",https://news.detik.com/berita/d-8215004/atasi-tbc-pemprov-dki-gencarkan-gerakan-toss-hingga-kampung-siaga,tbc
Hakim Tetapkan Ammar Zoni dkk Disidang Terpisah karena Ada Terdakwa Kena TBC,https://news.detik.com/berita/d-8254219/hakim-tetapkan-ammar-zoni-dkk-disidang-terpisah-karena-ada-terdakwa-kena-tbc,tbc
"4 Napi Terindikasi TBC, Ratusan Warga Binaan di Lapas Ciamis Discreening",https://health.detik.com/fotohealth/d-8180138/4-napi-terindikasi-tbc-ratusan-warga-binaan-di-lapas-ciamis-discreening,tbc
Video: Pemerintah akan Revisi Perpres Pemberantasan TBC,https://health.detik.com/detiktv/d-8209720/video-pemerintah-akan-revisi-perpres-pemberantasan-tbc,tbc
Pemkab Indramayu Perkuat Penanganan TBC Lewat Deteksi Dini,https://www.detik.com/jabar/berita/d-8205882/pemkab-indramayu-perkuat-penanganan-tbc-lewat-deteksi-dini,tbc
Kasus Kematian Akibat TBC di Sumenep Turun Drastis,https://www.detik.com/jatim/berita/d-8206095/kasus-kematian-akibat-tbc-di-sumenep-turun-drastis,tbc
Kreatif! Mahasiswa ITS Buat Alat Deteksi Dini TBC Lewat Suara Batuk,https://www.detik.com/edu/edutainment/d-8290448/kreatif-mahasiswa-its-buat-alat-deteksi-dini-tbc-lewat-suara-batuk,tbc
"Revisi Perpres Pemberantasan TBC, Kemenkes Libatkan 35 Kementerian-Lembaga",https://news.detik.com/berita/d-8209061/revisi-perpres-pemberantasan-tbc-kemenkes-libatkan-35-kementerian-lembaga,tbc
"Wamenkes Sebut Kasus TBC RI Terbesar ke-2 Dunia, Pulau Jawa Terbanyak",https://www.detik.com/jatim/berita/d-8268667/wamenkes-sebut-kasus-tbc-ri-terbesar-ke-2-dunia-pulau-jawa-terbanyak,tbc
PDPI Siap Bantu Wamenkes Baru Percepat Penanganan TBC,https://health.detik.com/berita-detikhealth/d-8153460/pdpi-siap-bantu-wamenkes-baru-percepat-penanganan-tbc,tbc
Video: Kemenkes Libatkan Unpad-UI di Uji Klinis Tahap 3 Vaksin TBC,https://20.detik.com/detikupdate/20250518-250518100/video-kemenkes-libatkan-unpad-ui-di-uji-klinis-tahap-3-vaksin-tbc,tbc
